wavelength / nm,Global tilt W*m-2*nm-1
369,0.000828977
381,0.000104989
390,0.000135611
395,0.000916468
404,0.001708261
411,0.002497867
416,0.004042083
421,0.007874188
425,0.011704106
426,0.022395503
430,0.023171985
430,0.028515497
431,0.034626742
432,0.040735799
434,0.04150572
435,0.046853606
436,0.052962663
436,0.05983508
437,0.062890702
440,0.064426169
440,0.069008508
441,0.073590848
441,0.081224436
441,0.086567948
441,0.091911459
442,0.100310593
442,0.104890746
445,0.104901682
445,0.110247381
445,0.11711761
446,0.120173232
447,0.125518931
447,0.130099084
449,0.130105645
451,0.129348848
451,0.125534242
454,0.125545178
456,0.1209694
456,0.114099171
456,0.10875566
456,0.104175507
456,0.098831995
456,0.093490671
458,0.092733874
460,0.09045036
461,0.086635753
461,0.083582318
462,0.078240994
461,0.072895295
461,0.069078501
462,0.064500536
464,0.064509285
465,0.061460224
465,0.056880072
465,0.053063278
466,0.047721954
468,0.046201798
470,0.04620836
471,0.041630394
471,0.037815788
472,0.034001181
472,0.031713292
475,0.0324854
475,0.029431965
475,0.02637853
477,0.026385092
480,0.02486931
481,0.022581421
485,0.021833373
487,0.020313218
492,0.021091887
494,0.022627354
496,0.025685164
500,0.026463833
500,0.030280627
501,0.03333625
505,0.033349373
505,0.036404996
506,0.041750694
507,0.042518428
510,0.042527177
511,0.047872876
512,0.050930685
514,0.050939434
516,0.054760603
516,0.060104114
518,0.060112863
520,0.063170673
521,0.0677552
525,0.069297229
525,0.07464074
530,0.07541941
531,0.079240578
535,0.079253702
537,0.08155034
540,0.081561276
542,0.083857915
546,0.084634397
553,0.084658457
559,0.084678143
566,0.083175485
574,0.081675015
578,0.080161421
584,0.077129858
587,0.075614077
591,0.072573766
594,0.071055797
596,0.068011111
599,0.06801986
601,0.064209628
604,0.064220565
606,0.06193705
610,0.061186815
610,0.058898926
614,0.058146504
616,0.05509963
620,0.053588224
621,0.049010258
625,0.048260023
626,0.045210963
630,0.044462915
632,0.041413854
636,0.039136902
639,0.03762112
641,0.035337606
645,0.03306284
650,0.030026903
654,0.027749951
657,0.025468624
661,0.023193858
667,0.019394562
670,0.01864214
675,0.017132921
680,0.015623701
685,0.013351123
689,0.011837529
692,0.010321748
698,0.009578075
703,0.008068855
708,0.007322995
714,0.006577134
719,0.005831274
728,0.005100724
734,0.004354863
741,0.004378923
746,0.002871891
756,0.002139154
759,0.001388919
764,0.000640871
771,0.000664931
776,0.00068243
779,-7.00E-05
792,-2.84E-05
